********************************************************************************
*                             Initializing Cubiquity                           *
********************************************************************************
[23:28:21, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/29EC68D6.vdb'
[23:28:24, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[23:28:31, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/5300C78B.vdb'
[23:28:33, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[23:28:42, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/799A3893.vdb'
[23:28:44, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[23:28:48, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/776BC6D6.vdb'
[23:28:50, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[23:29:00, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/3047C232.vdb'
[23:29:02, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[23:32:25, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/2DDFA677.vdb'
[23:32:28, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[23:32:36, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/4D0FEABC.vdb'
[23:32:39, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[23:40:42, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/024B54D6.vdb'
[23:40:45, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[23:55:47, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/63B01ACD.vdb'
[23:55:57, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[23:56:02, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/4B601F29.vdb'
[23:56:05, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[23:57:03, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/6D258AD8.vdb'
[23:57:06, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[23:58:16, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/1D64D31C.vdb'
[23:58:19, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[23:59:25, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/48CF15F2.vdb'
[23:59:30, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[00:00:10, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/2209B29D.vdb'
[00:00:19, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[00:00:28, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/06683EBA.vdb'
[00:00:32, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[00:03:57, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/10B06E0D.vdb'
[00:04:01, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
